id_number,id_gl,name,macroareas,iso,language,1_form,1_source,1_pages,1_comment,1_example,1_example.source,1_example.page,1_morphosyntactic_type,1_meaning_under_negation,1_tam_restrictions,1_expectation_implicature,1_adjacent_meanings,1_other_uses,1_diachronic_sources,2_form,2_source,2_pages,2_comment,2_example,2_example.source,2_example.page,2_morphosyntactic_type,2_meaning_under_negation,2_tam_restrictions,2_expectation_implicature,2_adjacent_meanings,2_other_uses,2_diachronic_sources,adv.part,aux,affix,1_adjacent_meanings_and_other_uses
3,indo1319,Indo-European,"Africa, Australia, Eurasia, North America, Papunesia, South America",spa,Spanish,"todavía, aún",butt2019,446,,spanish1.png,butt2019,446,adv,not yet,,,,even,,"continuar, seguir",butt2019,457,"In parts of Latin America siempre ‘always’ can, like the French toujours, mean ‘still’",spanish2.png,butt2019,457,aux,,,,,,,TRUE,TRUE,FALSE,even
4,sino1245,Sino-Tibetan,Eurasia,cmn,Mandarin Chinese,hái,maross2017,88-89,,mandarin.png,maross2017,88,adv,not yet,,,,also,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,also
10,taik1256,Tai-Kadai,Eurasia,tha,Thai,pay,iwasaki2005,157-159,,thai.png,iwasaki2005,158,aux,,,,,,go,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,
11,drav1251,Dravidian,Eurasia,tam,Tamil,inrum,lehmann1993,304,,tamil.png,lehmann1993,304,adv/part,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,
19,ural1272,Uralic,Eurasia,fin,Finnish,vielä,karlsson1999,132,no special description,finnish.png,karlsson1999,132,adv,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,
24,turk1311,Turkic,Eurasia,tur,Turkish,daha,gökselkerslake2005,206,,turkish.png,gökselkerslake2005,206,adv,not yet,,,already,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,already
26,hmon1336,Hmong-Mien,Eurasia,hnj,Hmong Njua,tseem,dejamorn2006,77,"no special description, sometimes glossed as progr",hmong.png,dejamorn2006,77,adv/part,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,
28,nakh1245,Nakh-Daghestanian,Eurasia,lez,Lezgian,-zma/-nma,haspelmath1993,145,,lezgian1.png,haspelmath1993,145,affix,not anymore,"imperfective, perfect (only resultative meaning)",,,,,hele,haspelmath1993,210-211,"there are also particles helelig, gilani (gila 'now' plus -ni 'also, even') and mad",lezgian2.png,haspelmath1993,210,adv/part,,,,,,,TRUE,FALSE,TRUE,
43,mong1349,Mongolic-Khitan,Eurasia,khk,Halh Mongolian,-sааr bаj-,kullmann1996,137-138,the particle l somehow contributes the meaning of still,mongolian.png,kullmann1996,138,aux,,,,something like English Perfect Progressive,,simultaneous converb + copula,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,something like English Perfect Progressive
45,japo1237,Japonic,"Eurasia, Papunesia",jpn,Japanese,mada,kaiseretal2013,10,no special decription,japanese.png,kaiseretal2013,10,adv/part,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,
53,tung1282,Tungusic,Eurasia,evn,Evenki,hata,nedjalkov1997,132-133,,evenki.png,nedjalkov1997,133,part,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,
63,grea1241,Great Andamanese,"Eurasia, Papunesia",akj,Akajeru,itthaxe,abbi2013,198,no special description,andamanese.png,abbi2013,198,adv,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,
82,chuk1271,Chukotko-Kamchatkan,Eurasia,ckt,Chukchi,panena,dunn1999,372,,chukchi.png,dunn1999,372,adv/part,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,
95,kart1248,Kartvelian,Eurasia,kat,Georgian,-grj-,hewitt1995,596,"no special description; there is also a particle ""mainc"" meaning ""still = nevertheless""",georgian.png,hewitt1995,596,aux,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,
104,abkh1242,Abkhaz-Adyge,Eurasia,abq,Abaza,-rḳʷ(a),klyaginapanova2019,9-10,,abaza.png,klyaginapanova2019,10,affix,not used,forbidden in Aorist and Retroaorist,optional,,,be,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,
121,yeni1252,Yeniseian,Eurasia,ket,Ket,hɨ,georg2007,147,no special description,ket.png,georg2007,147,adv,not yet,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,
147,yuka1259,Yukaghir,Eurasia,yux,Southern Yukaghir,aji:,maslova2003,367-369,"the meanings ""still"" and ""more"" can be distinguished by means of the linear position of the particle",yukaghir.png,maslova2003,369,part,not yet,,,,"too, again, more",,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,"too, again, more"
148,ainu1252,Ainu,Eurasia,ain,Hokkaido Ainu,naa,akulov2005,"119, 139",,ainu.png,akulov2005,119,adv/part,,,,already,more,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,"alredy, more"
196,hurr1239,Hurro-Urartian,Eurasia,xhu,Hurrian,zugan,campbell2007,159,"no special description; It is unclear how zugan should be translated, but it almost certainly functions as an adverb in this context",hurrian.png,campbell2007,159,adv,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,
198,jara1244,Jarawa-Onge,Eurasia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,kore1284,Koreanic,Eurasia,kor,Korean,acik,sohn1994,103,"no special description, see ex. 289, 166 for not yet",korean1.png,sohn1994,103,adv,not yet,,,,,,-keli / -tay,sohn1994,332,these suffixes occur mostly with onomatopoetic roots,korean2.png,sohn1994,332,affix,,,,,,,TRUE,FALSE,TRUE,
213,nivk1234,Nivkh,Eurasia,niv,Nivkh,napa,nedjalkovotaina2013,157,"no special description, see ex. 937 for not yet",nivkh.png,nedjalkovotaina2013,157,adv,not yet,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,